CIVIC_NUMBER;Geo Local Area;Geom;P_PARCEL_ID;PCOORD;SITE_ID;STD_STREET,,,
"1441;Shaughnessy;""{""""coordinates"""": [-123.1357010427711", 49.25749480783873]," """"type"""": """"Point""""}"";__FIY5IU;69013424;009341528;MCRAE AV",1441
"1499;Shaughnessy;""{""""coordinates"""": [-123.13841137930692", 49.255149669439774]," """"type"""": """"Point""""}"";__FIY5J2;69813007;011533269;ANGUS DRIVE",1499
"1296;Shaughnessy;""{""""coordinates"""": [-123.13405577608702", 49.257406794353514]," """"type"""": """"Point""""}"";__FIY7WY;69013484;008093237;WOLFE AV",1296
"1270;Shaughnessy;""{""""coordinates"""": [-123.13380006288784", 49.257371568658954]," """"type"""": """"Point""""}"";__FIY7X0;69013836;010707042;WOLFE AV",1270
"1313;Shaughnessy;""{""""coordinates"""": [-123.13468825559131", 49.24979657684231]," """"type"""": """"Point""""}"";__FIY7XU;71013597;011527676;W KING EDWARD AV",1313
"1288;Shaughnessy;""{""""coordinates"""": [-123.13352391714074", 49.25037273246337]," """"type"""": """"Point""""}"";__FIY7XW;70514424;003645380;LAURIER AV",1288
"1277;Shaughnessy;""{""""coordinates"""": [-123.13358410129324", 49.24977133186772]," """"type"""": """"Point""""}"";__FIY7XY;71014425;011527471;W KING EDWARD AV",1277
"3598;Shaughnessy;""{""""coordinates"""": [-123.13449837304792", 49.25368676550814]," """"type"""": """"Point""""}"";__FIY7Y6;14469896;010806971;HUDSON ST",3598
"1290;Shaughnessy;""{""""coordinates"""": [-123.13443102822912", 49.25318222085762]," """"type"""": """"Point""""}"";__FIY7YA;70214404;011531983;MATTHEWS AV",1290
"3738;Shaughnessy;""{""""coordinates"""": [-123.1340168443763", 49.25248378211968]," """"type"""": """"Point""""}"";__FIY7YE;14470262;011532017;HUDSON ST",3738
"1268;Shaughnessy;""{""""coordinates"""": [-123.13320400243806", 49.25655819919897]," """"type"""": """"Point""""}"";__FIY7ZC;69214544;011532815;TECUMSEH AV",1268
"3380;Shaughnessy;""{""""coordinates"""": [-123.1330133254364", 49.25602725121179]," """"type"""": """"Point""""}"";__FIY7ZE;14869804;011532866;THE CRESCENT",3380
"1300;Shaughnessy;""{""""coordinates"""": [-123.13512619405492", 49.2556588468893]," """"type"""": """"Point""""}"";__FIY802;69213306;011316187;THE CRESCENT",1300
"4850;Shaughnessy;""{""""coordinates"""": [-123.12970154707588", 49.24195537961418]," """"type"""": """"Point""""}"";__FIYFTI;14872552;010996427;OSLER ST",4850
"1069;Shaughnessy;""{""""coordinates"""": [-123.12924559144761", 49.24176116163277]," """"type"""": """"Point""""}"";__FIYFTO;73014825;003358861;W 33RD AV",1069
"1049;Shaughnessy;""{""""coordinates"""": [-123.12897766454581", 49.241751566298895]," """"type"""": """"Point""""}"";__FIYFTQ;73014843;010996486;W 33RD AV",1049
"1008;Shaughnessy;""{""""coordinates"""": [-123.12810405805509", 49.24212900713614]," """"type"""": """"Point""""}"";__FIYFTW;72514894;011125764;W 32ND AV",1008
"1028;Shaughnessy;""{""""coordinates"""": [-123.12835274343387", 49.24213502777895]," """"type"""": """"Point""""}"";__FIYFTY;72514878;008286973;W 32ND AV",1028
"1123;Shaughnessy;""{""""coordinates"""": [-123.13099305425155", 49.24182885259801]," """"type"""": """"Point""""}"";__FIYFVI;73014677;010997083;W 33RD AV",1123
"4863;Shaughnessy;""{""""coordinates"""": [-123.13050311462506", 49.24197694703217]," """"type"""": """"Point""""}"";__FIYFVO;14872553;010997113;OSLER ST",4863
"1235;Shaughnessy;""{""""coordinates"""": [-123.13317439095778", 49.24190321398996]," """"type"""": """"Point""""}"";__FIYFVQ;73014465;010905146;W 33RD AV",1235
"1221;Shaughnessy;""{""""coordinates"""": [-123.13288861693", 49.24189905443799]," """"type"""": """"Point""""}"";__FIYFVS;73014481;005087651;W 33RD AV",1221
"1070;Shaughnessy;""{""""coordinates"""": [-123.12928669044904", 49.24120071208893]," """"type"""": """"Point""""}"";__FIYFW6;73014828;011034581;W 33RD AV",1070
"1050;Shaughnessy;""{""""coordinates"""": [-123.12900296630775", 49.2411906937245]," """"type"""": """"Point""""}"";__FIYFW8;73014844;007090862;W 33RD AV",1050
"1030;Shaughnessy;""{""""coordinates"""": [-123.12871856907695", 49.24118066641797]," """"type"""": """"Point""""}"";__FIYFWA;73014860;011034611;W 33RD AV",1030
"1004;Shaughnessy;""{""""coordinates"""": [-123.12815112136202", 49.24116062620121]," """"type"""": """"Point""""}"";__FIYFWE;73014896;011034637;W 33RD AV",1004
"1226;Shaughnessy;""{""""coordinates"""": [-123.13292705005692", 49.24133321851707]," """"type"""": """"Point""""}"";__FIYFWG;73014478;004583981;W 33RD AV",1226
"1188;Shaughnessy;""{""""coordinates"""": [-123.132030387452", 49.241298733535395]," """"type"""": """"Point""""}"";__FIYFWI;73014604;010949119;W 33RD AV",1188
"1178;Shaughnessy;""{""""coordinates"""": [-123.13176191657956", 49.24129049456648]," """"type"""": """"Point""""}"";__FIYFWK;73014614;010949127;W 33RD AV",1178
