Address,Total_value,Land_value,Building_value,Year_Built,Land_Size,PricePerSqFt
1441 MCRAE AVE VANCOUVER V6H 1V1,"$17,822,000",8657000.00,9165000.00,1967.00,59748,$144.89
1499 ANGUS DR VANCOUVER V6H 1V2,"$6,058,000",5694000.00,364000.00,1922.00,32002.2,$177.93
1296 WOLFE AVE VANCOUVER V6H 1W1,"$5,030,000",4896000.00,134000.00,1946.00,15145,$323.28
1270 WOLFE AVE VANCOUVER V6H 1W1,"$5,299,000",5039000.00,260000.00,1978.00,14054.57,$358.53
1313 KING EDWARD AVE W VANCOUVER V6H 2A1,"$10,307,000",4625000.00,5682000.00,2003.00,20000,$231.25
1288 LAURIER AVE VANCOUVER V6H 1Y6,"$9,277,000",7736000.00,1541000.00,1993.00,16000,$483.50
1277 KING EDWARD AVE W VANCOUVER V6H 1Z8,"$5,782,000",4625000.00,1157000.00,1990.00,20000,$231.25
3598 HUDSON ST VANCOUVER V6H 3A5,"$14,381,000",7896000.00,6485000.00,2010.00,17954,$439.79
1290 MATTHEWS AVE VANCOUVER V6H 1W6,"$7,299,000",6934000.00,365000.00,1912.00,20296.645,$341.63
3738 HUDSON ST VANCOUVER V6H 3A7,"$25,623,000",12745000.00,12878000.00,2013.00,31256.5345,$407.75
1268 TECUMSEH AVE VANCOUVER V6H 1T2,"$11,095,000",9519000.00,1576000.00,1984.00,25375,$375.13
3380 THE CRESCENT VANCOUVER V6H 1T8,"$17,437,000",16362000.00,1075000.00,1920.00,51506,$317.67
3380 THE CRESCENT VANCOUVER V6H 1T8,"$17,437,000",16362000.00,1075000.00,1920.00,51506,$317.67
4850 OSLER ST VANCOUVER V6H 2Y7,"$4,328,000",3148000.00,1180000.00,2010.00,6000,$524.67
1069 33RD AVE W VANCOUVER V6M 1A1,"$3,232,800",3180000.00,52800.00,1928.00,8133.3021,$390.99
1049 33RD AVE W VANCOUVER V6M 1A1,"$3,335,000",3182000.00,153000.00,1928.00,8142.057,$390.81
1008 32ND AVE W VANCOUVER V6H 2H6,"$2,902,000",2334000.00,568000.00,1990.00,6480,$360.19
1028 32ND AVE W VANCOUVER V6H 2H6,"$2,944,000",2539000.00,405000.00,1988.00,6480,$391.82
1123 33RD AVE W VANCOUVER V6M 1A3,"$5,303,000",3318000.00,1985000.00,2018.00,7987.5,$415.40
4863 OSLER ST VANCOUVER V6H 2Y8,"$3,396,000",3220000.00,176000.00,1923.00,6250,$515.20
1235 33RD AVE W VANCOUVER V6M 1A4,"$3,455,500",3371000.00,84500.00,1924.00,8250,$408.61
1221 33RD AVE W VANCOUVER V6M 1A4,"$3,485,000",3371000.00,114000.00,1925.00,8250,$408.61
1070 33RD AVE W VANCOUVER V6M 1A2,"$3,456,000",3249000.00,207000.00,1928.00,8504.76,$382.02
1050 33RD AVE W VANCOUVER V6M 1A2,"$3,450,000",3249000.00,201000.00,1930.00,8504.76,$382.02
1030 33RD AVE W VANCOUVER V6M 1A2,"$4,500,000",3078000.00,1422000.00,2010.00,8504.76,$361.91
1004 33RD AVE W VANCOUVER V6M 1A2,"$2,476,800",2427000.00,49800.00,1948.00,8741.1423,$277.65
1226 33RD AVE W VANCOUVER V6M 1A5,"$4,375,000",3682000.00,693000.00,1992.00,10004.3493,$368.04
1188 33RD AVE W VANCOUVER V6M 1A2,"$3,575,000",3351000.00,224000.00,1930.00,8150.8119,$411.12
1178 33RD AVE W VANCOUVER V6M 1A2,"$3,479,000",3346000.00,133000.00,1932.00,8129.55,$411.58
1170 33RD AVE W VANCOUVER V6M 1A2,"$3,433,100",3346000.00,87100.00,1946.00,8129.55,$411.58
1130 33RD AVE W VANCOUVER V6M 1A2,"$3,428,200",3346000.00,82200.00,1955.00,8129.55,$411.58
1061 38TH AVE W VANCOUVER V6M 1P7,"$4,009,000",3860000.00,149000.00,1966.00,8382,$460.51
1037 38TH AVE W VANCOUVER V6M 1P7,"$3,901,000",3800000.00,101000.00,1966.00,8118,$468.10
1011 38TH AVE W VANCOUVER V6M 1P7,"$4,403,000",4258000.00,145000.00,1966.00,13178,$323.11
1050 38TH AVE W VANCOUVER V6M 1P6,"$3,744,000",3560000.00,184000.00,1966.00,7900,$450.63
1028 37TH AVE W VANCOUVER V6M 1L8,"$3,802,000",3157000.00,645000.00,1969.00,8186.42,$385.64
1092 37TH AVE W VANCOUVER V6M 1L8,"$4,578,000",3848000.00,730000.00,2021.00,8324.85,$462.23
1168 38TH AVE W VANCOUVER V6M 1P9,"$4,777,000",3772000.00,1005000.00,1995.00,8000,$471.50
1122 38TH AVE W VANCOUVER V6M 1P9,"$4,470,000",3772000.00,698000.00,1992.00,8000,$471.50
1112 38TH AVE W VANCOUVER V6M 1P9,"$5,304,000",3802000.00,1502000.00,1994.00,8125,$467.94
1168 37TH AVE W VANCOUVER V6M 1L9,"$6,712,000",3804000.00,2908000.00,2012.00,8134.4,$467.64
1166 37TH AVE W VANCOUVER V6M 1L9,"$4,048,000",3804000.00,244000.00,1937.00,8134.4,$467.64
1118 37TH AVE W VANCOUVER V6M 1L9,"$4,423,000",3833000.00,590000.00,1986.00,8261.5,$463.96
1183 38TH AVE W VANCOUVER V6M 1P8,"$4,384,000",3833000.00,551000.00,1992.00,8255,$464.32
1222 38TH AVE W VANCOUVER V6M 1R1,"$5,346,000",3886000.00,1460000.00,1996.00,8500,$457.18
1221 39TH AVE W VANCOUVER V6M 1S9,"$5,108,000",3886000.00,1222000.00,1995.00,8500,$457.18
1222 37TH AVE W VANCOUVER V6M 1M1,"$5,026,000",3918000.00,1108000.00,1994.00,8642.8,$453.33
1218 37TH AVE W VANCOUVER V6M 1M1,"$6,438,000",4027000.00,2411000.00,2007.00,9151.2,$440.05
5488 OSLER ST VANCOUVER V6M 2W9,"$3,809,000",3687000.00,122000.00,1965.00,8478.8488,$434.85
4890 HUDSON ST VANCOUVER V6H 3C2,"$3,710,000",3420000.00,290000.00,1924.00,8557.68,$399.64
1263 33RD AVE W VANCOUVER V6M 1A4,"$3,459,800",3371000.00,88800.00,1924.00,8250,$408.61
1249 33RD AVE W VANCOUVER V6M 1A4,"$3,430,100",3371000.00,59100.00,1924.00,8250,$408.61
1425 33RD AVE W VANCOUVER V6M 1A6,"$3,967,000",3371000.00,596000.00,1924.00,8250,$408.61
1379 33RD AVE W VANCOUVER V6M 1A6,"$4,566,000",3371000.00,1195000.00,1996.00,8250,$408.61
1331 33RD AVE W VANCOUVER V6M 1A6,"$3,879,000",3371000.00,508000.00,1922.00,8250,$408.61
1290 33RD AVE W VANCOUVER V6M 1A5,"$3,766,100",3682000.00,84100.00,1938.00,10005.6,$367.99
1276 33RD AVE W VANCOUVER V6M 1A5,"$6,607,000",3682000.00,2925000.00,2011.00,10005.6,$367.99
1242 33RD AVE W VANCOUVER V6M 1A5,"$6,466,000",3682000.00,2784000.00,2015.00,10005.6,$367.99
1336 33RD AVE W VANCOUVER V6M 1A5,"$3,595,000",3470000.00,125000.00,1932.00,8754.9,$396.35
1458 33RD AVE W VANCOUVER V6M 1A5,"$3,443,000",3295000.00,148000.00,1924.00,8750,$376.57
1476 33RD AVE W VANCOUVER V6M 1A5,"$3,058,000",2949000.00,109000.00,1920.00,8750,$337.03
1492 33RD AVE W VANCOUVER V6M 1A5,"$2,931,000",2813000.00,118000.00,1929.00,8314.6536,$338.32
4938 GRANVILLE ST VANCOUVER V6M 3B2,"$3,108,800",3036000.00,72800.00,1952.00,8754.9,$346.78
4812 MARGUERITE ST VANCOUVER V6J 4G9,"$5,269,000",5104000.00,165000.00,1922.00,11290.4697,$452.06
4775 CONNAUGHT DR VANCOUVER V6J 4E4,"$5,541,000",5435000.00,106000.00,1925.00,12882.87,$421.88
1520 32ND AVE W VANCOUVER V6J 3A6,"$4,897,000",3866000.00,1031000.00,1992.00,18759,$206.09
4815 GRANVILLE ST VANCOUVER V6H 3M2,"$4,024,000",3902000.00,122000.00,1969.00,15750,$247.75
4849 GRANVILLE ST VANCOUVER V6H 3M2,"$4,026,000",3902000.00,124000.00,1954.00,15750,$247.75
